,allcats,soiltype,WTD,rootdepth,LAIIntercept,LAIPx,LAIPETx,LAIP2x,LAIPET2x,aetIntercept,aetPx,aetPETx,aetP2x,aetPET2x,aetgwIntercept,aetgwPx,aetgwPETx,aetgwP2x,aetgwPET2x,gwsubsIntercept,gwsubsPx,gwsubsPETx,gwsubsP2x,gwsubsPET2x
119,siltloam_2_6,siltloam,6,2,-0.438684462,0.002304425,0.004466245,-1.11E-06,-7.24E-06,-37.27569901,0.761195435,-0.224035489,-0.000286248,0.002688948,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-273.2487486,0.197865658,3.694728335,-0.000186959,-0.01054157
120,siltyclay_2_6,siltyclay,6,2,-0.418043834,0.001856252,0.003171815,-5.47E-07,-3.56E-06,-36.70589772,0.485950623,-0.357839133,1.63E-05,0.002466918,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.1965104,0.040367766,3.447640496,2.82E-06,-0.010318219
121,siltyclayloam_2_6,siltyclayloam,6,2,-0.431381709,0.002070303,0.003480879,-7.92E-07,-4.01E-06,-36.71859567,0.597102877,-0.357941625,-9.98E-05,0.002728481,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-270.3347263,0.095072821,3.502266674,-5.71E-05,-0.010314412
122,clay_2_12,clay,12,2,-0.41686177,0.001743507,0.002930738,-4.32E-07,-3.52E-06,-37.33823303,0.419157014,-0.413581215,8.22E-05,0.002412748,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
123,clayloam_2_12,clayloam,12,2,-0.433723515,0.001953033,0.002696486,-6.18E-07,-1.88E-06,-36.66245795,0.459173373,-0.471739466,5.22E-05,0.00272798,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
124,loam_2_12,loam,12,2,-0.439183283,0.0020343,0.002676668,-6.95E-07,-1.66E-06,-36.4110291,0.483696175,-0.491498131,3.09E-05,0.002817178,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
125,loamysand_2_12,loamysand,12,2,-0.447036753,0.002055989,0.002876613,-7.68E-07,-2.28E-06,-38.31099142,0.514262386,-0.508151691,-2.21E-05,0.002931096,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
126,sandyclay_2_12,sandyclay,12,2,-0.39809803,0.001615958,0.003239293,-3.06E-07,-5.67E-06,-37.07879682,0.372432796,-0.270481295,0.000124541,0.001666226,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
127,sandyclayloam_2_12,sandyclayloam,12,2,-0.429460455,0.001944401,0.00270283,-5.96E-07,-2.15E-06,-36.15999252,0.458390304,-0.490246889,6.01E-05,0.002758426,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
128,sandyloam_2_12,sandyloam,12,2,-0.43371409,0.002000357,0.002684581,-6.50E-07,-1.79E-06,-36.04526101,0.463128827,-0.466415689,5.50E-05,0.002711204,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
129,silt_2_12,silt,12,2,-0.459786957,0.002158419,0.002686147,-8.67E-07,-1.18E-06,-37.31300513,0.538958159,-0.544180341,-3.38E-05,0.003079073,2.767266151,-0.001101514,-0.030563482,6.95E-07,8.80E-05,NA,NA,NA,NA,NA
130,siltloam_2_12,siltloam,12,2,-0.45582011,0.00220308,0.002774952,-8.94E-07,-1.84E-06,-36.69313415,0.550393886,-0.522995738,-3.99E-05,0.002925076,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
131,siltyclay_2_12,siltyclay,12,2,-0.425233476,0.001822736,0.002815262,-5.07E-07,-2.73E-06,-37.18451811,0.433463184,-0.445945687,7.12E-05,0.002582142,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
132,siltyclayloam_2_12,siltyclayloam,12,2,-0.443487474,0.002012108,0.002742871,-7.05E-07,-1.87E-06,-37.15948392,0.489598266,-0.487038995,1.57E-05,0.002800334,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
133,clay_3.6_1,clay,1,3.6,-0.538806776,0.000735275,0.006538723,-6.61E-07,6.03E-05,-72.74641397,0.148553194,1.288060609,-0.00016162,0.027688293,5.228328583,-0.022218562,-0.598799657,6.44E-05,0.014694494,-284.2312048,-0.282923879,4.816434306,-0.000182376,0.015813712
134,clayloam_3.6_1,clayloam,1,3.6,-0.628209082,0.000824315,0.00242881,-5.61E-07,9.55E-05,-77.73817035,0.116159427,-1.267180792,-1.78E-05,0.046633649,7.771147026,-0.005479492,-1.249023876,8.57E-05,0.017903252,-274.0740385,-0.348243784,2.107826417,-2.10E-05,0.035102585
135,loam_3.6_1,loam,1,3.6,-0.6245419,0.000812898,0.002639384,-5.65E-07,9.41E-05,-77.63030241,0.117435068,-1.144939174,-2.59E-05,0.045803615,6.59023209,-0.004941629,-0.958260274,9.01E-05,0.014643139,-274.3480037,-0.37265839,2.255275585,-6.35E-06,0.034162117
136,loamysand_3.6_1,loamysand,1,3.6,-0.646867586,0.000825487,0.001545079,-5.24E-07,0.000103329,-77.99405972,0.110711233,-1.431877641,-4.22E-06,0.047881211,5.872621544,0.017690514,-0.822282744,2.51E-05,0.016490892,-273.6235235,-0.383478828,1.969070888,2.40E-06,0.036160121
137,sandyclay_3.6_1,sandyclay,1,3.6,-0.495934947,0.000621983,0.007519245,-5.33E-07,4.79E-05,-70.77654843,0.186633576,1.323070257,-0.000180615,0.025699488,4.807997653,-0.014380827,-0.51153902,2.00E-05,0.016828906,-284.4271166,-0.210224926,4.724126445,-0.00023346,0.014737286
138,sandyclayloam_3.6_1,sandyclayloam,1,3.6,-0.627787025,0.000830226,0.00237658,-5.57E-07,9.52E-05,-77.71591509,0.115886088,-1.316709732,-1.40E-05,0.046916648,8.973001839,-0.0072926,-1.54297518,8.16E-05,0.0211541,-274.1523852,-0.348143482,2.073182678,-2.56E-05,0.0353658
139,sandyloam_3.6_1,sandyloam,1,3.6,-0.643466093,0.000822989,0.001703961,-5.29E-07,0.000101946,-77.95911648,0.110381963,-1.421369841,-4.16E-06,0.047797391,6.649470515,0.013478136,-1.005752814,4.15E-05,0.017365112,-273.6107608,-0.357560252,1.934451476,-1.35E-05,0.036319658
140,silt_3.6_1,silt,1,3.6,-0.644057217,0.000832371,0.00194264,-5.68E-07,0.000100974,-77.71295201,0.063716492,-1.141707682,2.90E-05,0.046542314,3.383850547,0.002114395,-0.180724862,6.80E-05,0.007670839,-271.6558416,-0.520499541,2.360834912,0.00016067,0.034449941
141,siltloam_3.6_1,siltloam,1,3.6,-0.624904884,0.0008015,0.002658487,-5.60E-07,9.45E-05,-77.26714853,0.109748847,-0.884583837,-3.08E-05,0.044100968,3.930373825,-0.000605354,-0.309089163,9.03E-05,0.006934741,-274.1372904,-0.446648991,2.558068149,5.96E-05,0.032306149
142,siltyclay_3.6_1,siltyclay,1,3.6,-0.567811614,0.000750397,0.005179832,-6.15E-07,7.22E-05,-74.24840857,0.126405967,0.63075864,-0.000112756,0.03287254,6.061650656,-0.023407922,-0.800856353,8.01E-05,0.015620227,-281.4537508,-0.317076848,4.131948371,-0.000125783,0.021012673
143,siltyclayloam_3.6_1,siltyclayloam,1,3.6,-0.610343519,0.000784059,0.003305277,-5.72E-07,8.89E-05,-76.38000325,0.112406166,-0.388014863,-5.59E-05,0.040517061,5.150200238,-0.010054072,-0.594765385,9.71E-05,0.010935753,-276.7229909,-0.383880594,3.064740627,-1.83E-05,0.028711552
155,clay_3.6_3,clay,3,3.6,-0.443934345,0.002298338,0.006651826,-1.41E-06,-8.26E-06,-44.55255843,0.930660378,0.358328267,-0.000586419,0.004889151,2.459756705,0.017309413,0.015137738,-2.03E-05,0.000525155,-282.6425135,0.487955054,4.241673103,-0.000588138,-0.008085791
156,clayloam_3.6_3,clayloam,3,3.6,-0.433766263,0.002017205,0.009269441,-1.50E-06,-1.08E-05,-50.50791175,0.825326113,1.415662273,-0.000615871,0.004514664,2.506503688,0.006996206,0.019962361,-1.37E-05,0.00075002,-287.6904711,0.343095946,5.337904341,-0.000589098,-0.008716434
157,loam_3.6_3,loam,3,3.6,-0.421322717,0.001756403,0.01082276,-1.46E-06,-1.22E-05,-53.92475591,0.728553472,2.079355036,-0.000598634,0.003948191,2.5537086,0.000301596,0.019333526,-5.48E-06,0.000747255,-290.0554203,0.221471165,6.006526564,-0.000550422,-0.009328301
158,loamysand_3.6_3,loamysand,3,3.6,-0.403453375,0.001494271,0.009169703,-9.92E-07,-1.03E-05,-51.82102603,0.570830922,1.365105707,-0.000362484,0.005974702,2.732313027,0.007504399,-0.03606761,-9.58E-06,0.001207789,-283.9012272,0.060809988,5.254500637,-0.000329191,-0.007264287
159,sandyclay_3.6_3,sandyclay,3,3.6,-0.414172619,0.001999707,0.006232082,-1.02E-06,-1.07E-05,-41.51637377,0.748606012,0.357087133,-0.00036099,0.003287182,2.470708723,0.020372851,0.007834239,-1.97E-05,0.000527774,-278.8857083,0.363685208,4.065197156,-0.000420481,-0.008826577
160,sandyclayloam_3.6_3,sandyclayloam,3,3.6,-0.431019343,0.002029177,0.008673559,-1.42E-06,-1.11E-05,-48.44882994,0.811861985,1.159957173,-0.000560908,0.004398727,2.515020474,0.009961991,0.013183783,-1.54E-05,0.000787845,-285.8430989,0.329871233,5.099044643,-0.000542417,-0.008859185
161,sandyloam_3.6_3,sandyloam,3,3.6,-0.421014566,0.001767435,0.009732538,-1.33E-06,-1.02E-05,-51.83071002,0.708893643,1.538103371,-0.00051798,0.005540176,2.649410395,0.005709115,-0.01312147,-1.18E-05,0.00110479,-286.9905208,0.223632834,5.423539569,-0.000498184,-0.007583387
162,silt_3.6_3,silt,3,3.6,-0.43322224,0.001057285,0.012130182,-1.18E-06,5.77E-06,-64.70376567,0.437033589,3.273420423,-0.000499316,0.007289279,2.742173176,-0.00639526,-0.015930631,4.62E-06,0.000888402,-293.2578453,-0.128314596,7.179371222,-0.000380767,-0.006034668
163,siltloam_3.6_3,siltloam,3,3.6,-0.405257503,0.001018219,0.013450987,-1.20E-06,-4.93E-06,-63.01139944,0.44601987,3.754281115,-0.0005206,0.003228684,2.552347906,-0.007737398,0.033636308,1.19E-05,0.000264214,-295.0733548,-0.125520332,7.667100918,-0.000404593,-0.010024064
164,siltyclay_3.6_3,siltyclay,3,3.6,-0.447557806,0.002315166,0.007009898,-1.48E-06,-8.17E-06,-45.66594892,0.940951514,0.499870955,-0.000619494,0.005033931,2.45622977,0.015628942,0.018595811,-2.00E-05,0.000546696,-283.8276968,0.484369581,4.414109993,-0.000610323,-0.00810624
165,siltyclayloam_3.6_3,siltyclayloam,3,3.6,-0.423776031,0.001845428,0.011070882,-1.56E-06,-1.40E-05,-54.20424149,0.774200024,2.285168802,-0.00066307,0.002627204,2.462025744,-0.0013431,0.044670503,-3.16E-06,0.000440569,-291.4326011,0.262321876,6.229625843,-0.000598985,-0.010701191
177,clay_3.6_6,clay,6,3.6,-0.419749276,0.001830262,0.003395809,-5.64E-07,-4.14E-06,-37.93892698,0.57690582,-0.484630565,-8.46E-05,0.003252259,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-270.2953885,0.135743415,3.326253912,-8.94E-05,-0.009504893
178,clayloam_3.6_6,clayloam,6,3.6,-0.435055305,0.002073905,0.003444229,-8.04E-07,-3.44E-06,-37.53230384,0.675007682,-0.553623844,-0.000177642,0.003854163,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-271.3589573,0.193159583,3.328034935,-0.000151966,-0.009256919
179,loam_3.6_6,loam,6,3.6,-0.441333345,0.002196098,0.003665791,-9.44E-07,-3.93E-06,-37.68533429,0.746941681,-0.564546808,-0.000253728,0.004124848,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-272.3498276,0.239472358,3.346933159,-0.000205293,-0.009107804
180,loamysand_3.6_6,loamysand,6,3.6,-0.428423485,0.002007547,0.003473589,-7.34E-07,-3.64E-06,-37.04811126,0.60483858,-0.444984652,-0.000105966,0.003312989,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-270.7287072,0.092744437,3.469696058,-6.97E-05,-0.010005133
181,sandyclay_3.6_6,sandyclay,6,3.6,-0.393948739,0.001625429,0.003678878,-3.51E-07,-6.55E-06,-37.19941717,0.467141473,-0.248468807,2.29E-05,0.00198811,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.7156036,0.083605303,3.398264909,-3.92E-05,-0.009941757
182,sandyclayloam_3.6_6,sandyclayloam,6,3.6,-0.428437288,0.002032653,0.003414716,-7.45E-07,-3.65E-06,-37.00658482,0.651542119,-0.539611643,-0.000147949,0.003681541,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-271.1304955,0.169904363,3.360117563,-0.000130507,-0.009460592
183,sandyloam_3.6_6,sandyloam,6,3.6,-0.429690324,0.002070501,0.003515777,-7.89E-07,-3.78E-06,-36.97115062,0.661921724,-0.499062845,-0.000161032,0.003646916,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-271.3962401,0.175777437,3.380965067,-0.000140246,-0.00946495
184,silt_3.6_6,silt,6,3.6,-0.462238737,0.002455482,0.004112952,-1.27E-06,-4.31E-06,-39.52559657,0.937839273,-0.667657201,-0.000467522,0.005228601,2.767264212,-0.001099976,-0.030565622,6.92E-07,8.80E-05,-274.5995613,0.369330211,3.327038059,-0.000343797,-0.008372808
